Functional SecurityRole Name,Description,SecurityRole,EmailId
MRODIVFIN,MRO Div Finance,IN02RW,
MRODIVFIN,MRO Div Finance,IN03RW,
MRODIVFIN,MRO Div Finance,IN04RW,
MRODIVFIN,MRO Div Finance,IN05RW,
MRODIVFIN,MRO Div Finance,MD04RW,
MRODIVFIN,MRO Div Finance,MD06RO,
MRODIVFIN,MRO Div Finance,MD06RW,
MRODIVFIN,MRO Div Finance,MD10RW,
MRODIVFIN,MRO Div Finance,MD12RW,
MRODIVFIN,MRO Div Finance,MD13RO,
MRODIVFIN,MRO Div Finance,MD13RW,
MRODIVFIN,MRO Div Finance,MD14RO,
MRODIVFIN,MRO Div Finance,MD14RW,
MRODIVFIN,MRO Div Finance,MD15RO,
MRODIVFIN,MRO Div Finance,MD16RO,
MRODIVFIN,MRO Div Finance,MD17RO,
MRODIVFIN,MRO Div Finance,OR01RO,
MRODIVFIN,MRO Div Finance,OR02RO,
MRODIVFIN,MRO Div Finance,OR03RO,
MRODIVFIN,MRO Div Finance,OR05RO,
MRODIVFIN,MRO Div Finance,PU01RW,
MRODIVFIN,MRO Div Finance,PU02RW,
MRODIVFIN,MRO Div Finance,PU03RW,
MRODIVFIN,MRO Div Finance,PU04RW,
MRODIVFIN,MRO Div Finance,PU05RW,
MRODIVFIN,MRO Div Finance,RE01RW,
MRODIVFIN,MRO Div Finance,RE02RW,
MRODIVFIN,MRO Div Finance,RE03RW,
MRODIVFIN,MRO Div Finance,RE04RW,
MRODIVFIN,MRO Div Finance,RE05RW,
MRODIVFIN,MRO Div Finance,RP01RO,
MRODIVFIN,MRO Div Finance,SA01RW,
MRODIVFIN,MRO Div Finance,TX01RW,
MROENG1GL,MROENG1GL,GL02RO,
MROENG1GL,MROENG1GL,GL05RO,
MROENG1GL,MROENG1GL,RP01RO,
MROENGGL,MROENGGL,GL02RO,
MROENGGL,MROENGGL,RP01RO,
MROFORE1,MROFORE1,MD10RW,
MROFOREGL,MROFOREGL,GL02RO,
MROFOREGL,MROFOREGL,GL05RO,
MROFOREGL,MROFOREGL,MD10RW,
MROFOREGL,MROFOREGL,RP01RO,
MROFOREOP,MROFOREOP,MD10RW,
MROILS,MROILS,MD10RW,
MROILS,MROILS,MD13RO,
MROILS,MROILS,MD15RO,
MROILS,MROILS,MD16RO,
MROILSCRS,MROILSCRS,MD10RW,
MROILSCRS,MROILSCRS,MD13RO,
MROILSCRS,MROILSCRS,MD15RO,
MROILSCRS,MROILSCRS,MD16RO,
MROILSGL,MROILSGL,GL02RO,
MROILSGL,MROILSGL,GL05RO,
MROILSGL,MROILSGL,MD10RW,
MROILSGL,MROILSGL,MD13RO,
MROILSGL,MROILSGL,MD15RO,
MROILSGL,MROILSGL,MD16RO,
MROILSGL,MROILSGL,RP01RO,
MROINTENT,MROINTENT,FS01RO,
MROINTENT,MROINTENT,FS01RW,
MROINTENT,MROINTENT,FS02RO,
MROINTENT,MROINTENT,FS03RO,
MROINTENT,MROINTENT,FS04RO,
MROINTENT,MROINTENT,FS05RO,
MROINTENT,MROINTENT,IN01RW,
MROINTENT,MROINTENT,IN02RW,
MROINTENT,MROINTENT,IN03RW,
MROINTENT,MROINTENT,IN04RW,
MROINTENT,MROINTENT,IN05RW,
MROINTENT,MROINTENT,MD04RW,
MROINTENT,MROINTENT,MD06RW,
MROINTENT,MROINTENT,MD10RW,
MROINTENT,MROINTENT,MD13RW,
MROINTENT,MROINTENT,MD14RW,
MROINTENT,MROINTENT,PU01RO,
MROINTENT,MROINTENT,PU02RW,
MROINTENT,MROINTENT,PU03RW,
MROINTENT,MROINTENT,PU04RW,
MROINTENT,MROINTENT,PU05RW,
MROINTENT,MROINTENT,SA01RW,
MROLOCPU1,MROLOCPU1,MD16RO,
MROLOCPUR,MRO Procurement,AP01RW,
MROLOCPUR,MRO Procurement,AP02RO,
MROLOCPUR,MRO Procurement,AP02RW,
MROLOCPUR,MRO Procurement,AP04RW,
MROLOCPUR,MRO Procurement,CB01RW,
