Functional SecurityRole Name,Description,SecurityRole,EmailId
FINAPGL,Finance Accounts Payable/GL,BU02RO,
FINAPGL,Finance Accounts Payable/GL,GL01RO,
FINAPGL,Finance Accounts Payable/GL,GL01RW,
FINAPGL,Finance Accounts Payable/GL,GL02RO,
FINAPGL,Finance Accounts Payable/GL,GL03RO,
FINAPGL,Finance Accounts Payable/GL,GL04RO,
FINAPGL,Finance Accounts Payable/GL,GL04RW,
FINAPGL,Finance Accounts Payable/GL,GL05RO,
FINAPGL,Finance Accounts Payable/GL,MD03RO,
FINAPGL,Finance Accounts Payable/GL,MD12RW,
FINAPGL,Finance Accounts Payable/GL,MD13RO,
FINAPGL,Finance Accounts Payable/GL,MD13RW,
FINAPGL,Finance Accounts Payable/GL,MD14RO,
FINAPGL,Finance Accounts Payable/GL,MD14RW,
FINAPGL,Finance Accounts Payable/GL,MD16RO,
FINAPGL,Finance Accounts Payable/GL,PU02RO,
FINAPGL,Finance Accounts Payable/GL,RP01RO,
FINAPGL,Finance Accounts Payable/GL,SA01RO,
FINAPGL,Finance Accounts Payable/GL,TX01RO,
FINAPGL,Finance Accounts Payable/GL,TX01RW,
FINAPPROV,Finance Approvers,AP02RO,
FINAPPROV,Finance Approvers,AP02RW,
FINAPPROV,Finance Approvers,AP04RW,
FINARGL,Finance Accounts Receivable AR/GL,AP02RO,
FINARGL,Finance Accounts Receivable AR/GL,AP02RW,
FINARGL,Finance Accounts Receivable AR/GL,AP04RW,
FINARGL,Finance Accounts Receivable AR/GL,AR01RO,
FINARGL,Finance Accounts Receivable AR/GL,AR01RW,
FINARGL,Finance Accounts Receivable AR/GL,AR02RO,
