MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1||010210|90212900|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535198
1||010212|39199090|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535204
1||010235|90212900|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535211
1||010250|48114190|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535217
1||010272|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535224
1||010287|39252000|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535230
1||010289|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535237
1||010304|90212900|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535243
1||010390|85081100|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535249
1||010436|27101911|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535255
1||010621|48119011|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535262
1||010692|34023990|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535268
1||010930||\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535274
