XACONO|XASUNO|XAADTE|XAADID|XASTDT|XAIMUN|XAXIES|XACNPJ|XAPJUR|XAFEDA|XAIBCD|XACNAE|XAXADR|XAXFIC|XAXCPJ|XALMTS
1|26S|1|01|20050210|NA|1111|55712737000129|1|GO|134|NA|1|\N|55712737000129|1784718559812
1|40009|1||19950101|\N|\N|\N||EX|99999|\N|\N|\N|\N|\N
1|489001|1|RJ|20260223|NA|NA|711083000399||RJ|4557|NA|46|\N|711083000399|1784352108043
1|50783|1|01|20051202|02373870015|0011083420062|10623303000114||MG|6200||35|\N|10623303000114|1784352108044
1|58794|1|1|20060302|1|1|\N||SP|50308|1|\N|\N|44080661000140|1785208585141
1|65257|1||20231019|NA|NA|72381189001001|||204|NA|\N|\N|72381189001001|1784352108044
1|65415|1||20240612|||31785807000100||RJ|4557||\N|\N|31785807000100|1784352108045
1|95085|1||20260415|||44808021000103|||4557||1|\N|44808021000103|1784352108045
