MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1|801|0-16BAR|39199090|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438511
1|801|0.020 7075 T6 1|90212900|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438523
1|801|0000450530|73269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438531
1|801|00031042|63072000|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122438541
1|801|00051312|89031900|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122438551
1|801|001104-200-02|85389090|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438559
1|801|001105-202-02|85364100|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438568
1|801|00375-2003-0000|85392110|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438576
1|801|00462|40169300|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438584
1|801|005-8414-010|34029039|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438593
1|801|007923|90314990|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438600
1|801|0090002574|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438608
1|801|01-0770028-05|85044090|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122438616
1|801|01-1127-0000|73269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122438623
1|801|010032|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122438631
1|801|010094|48119011|0|0|0|0|0|0|0|0|0|1|3|20260601|182736|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122438640
