iacono|iadivi|iafaci|iawhlo|iapuno|iaorty|iapotc|iapusl|iasldt|iapust|iascdt|iacmco|iapudt|iasuno|ialncd|iacucd|iatepy|iapyme|iamodl|iatedl|iateaf|iatepa|iarfid|iayre1|iadwdt|iahddt|iaprsu|iaourr|iaourt|iaagnt|iantam|iabram|iaotba|iapurc|iabuye|iaaure|ialedt|iafusc|iaexat|iaptac|iartac|iaexav|ianopp|ianoln|iamtwp|iamtdp|iacoam|iaodam|iaotpc|iaprla|iavol3|iagrwe|iatoqt|iatfno|ialred|iaatdt|iapopo|iatel1|iadudt|iacute|iaagra|iapyad|iashvi|iafids|iarcdt|ialidt|iaexep|iainep|iatlex|iatlin|iateor|iatxid|iaprtx|iapotx|iadtid|iaproj|iaelno|iaeclc|iacpri|iahafe|iatihm|iamedc|iargdt|iargtm|ialmdt|iachno|iachid|ialmts|iaprvw|iarasn|iafecn|iauca1|iauca2|iauca3|iauca4|iauca5|iauca6|iauca7|iauca8|iauca9|iauca0|iaudn1|iaudn2|iaudn3|iaudn4|iaudn5|iaudn6|iauid1|iauid2|iauid3|iauct1|iaporg|iasram
300|088|088|US1|2100000431|D01|20|20|20251001|20|20251001|04|20251001|20003|GB|USD|N75|WIR|001|FOB||001|||20251218|20251218|||||910|910|0|USSPATE|USSPATE||20251001||0|0|0|0|0|1|0|0|910|0|0|1|0|0|500||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165528|20251014|2|USSPATE|1760448154372|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000432|D01|20|35|20251003|35|20251003|04|20251001|20003|GB|USD|N75|WIR|001|FOB||001|||20251105|20251105|||||435.6|435.6|0|USSPATE|USSPATE||20251001||0|0|0|1|0|1|0|0|435.6|0|0|1|0|0|44||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165528|20251003|1|USSPATE|1759498429850|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000433|D01|20|35|20251003|35|20251003|04|20251001|20003|GB|USD|N75|WIR|001|FOB||001|||20251229|20260101|||||2414.85|2414.85|0|USSPATE|USSPATE||20251001||0|0|0|1|0|2|0|0|2414.85|0|0|1|0|0|1001||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165528|20251003|2|USSPATE|1759498429957|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000434|D01|20|20|20251001|99|20251017|04|20251001|20009|GB|USD|N30|WIR|001|FOB||001|||20251211|20251229|||||1930|1930|0|USSPATE|USSPATE||20251001||0|0|0|0|0|2|0|0|1930|0|0|1|0|0|650||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165528|20251017|3|USSPATE|1760722638137|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000435|D01|20|35|20251003|35|20251003|04|20251001|20009|GB|USD|N30|WIR|001|FOB||001|||20251215|20251215|||||4501|4501|0|USSPATE|USSPATE||20251001||0|0|0|1|0|1|0|0|4501|0|0|1|0|0|643||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165529|20251003|1|USSPATE|1759498430007|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000436|D01|20|35|20251017|35|20251017|04|20251001|20012|GB|USD|N90|WIR|001|FOB||001|||20251215|20251215|||||1665|1665|0|USSPATE|USSPATE||20251001||0|0|0|0|0|1|0|0|1665|0|0|1|0|0|1500||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|165529|20251017|3|USSPATE|1760720951883|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000437|D01|20|35|20251003|35|20251003|04|20251001|20027|GB|USD|N30|SN1|003|FOB||001|||20251015|20251015|||||230.4|230.4|0|MECSVC|MECSVC|USSPATE|20251001||0|0|0|1|0|1|0|0|230.4|0|0|1|0|0|4||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|180519|20251003|4|USSPATE|1759498430051|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000438|D04|20|99|20251001|99|20251001|04|20251001|20020|GB|USD|N30|WIR|001|FOB||001|YPURCHASE||20251001|20251001|||||217.9|217.9|0|USWROGE|DISBUYER|USSPATE|20251001||0|0|0|1|0|1|0|0|217.9|0|0|1|0|0|10||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|200315|20251001|1|USSPATE|1759349650992|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000439|D04|20|75|20251014|75|20251014|04|20251001|20030|GB|USD|N60|ACH|003|DAP||001|YPURCHASE||20251001|20251014|||||2009.47|2009.47|0|USWROGE|DISBUYER|USSPATE|20251001||0|0|0|0|0|11|0|0|2009.47|0|0|1|0|0|79||0|20251014|1||0|0|0|HQ|||20251014|0|0|0|0|0|0|0|0|0|0||||||0||20251001|200316|20251003|15|USSPATE|1760466962038|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000440|D04|20|99|20251001|99|20251001|04|20251001|20081|GB|USD|N60|CH2|003|DAP||001|||20251003|20251003|||||145.8|145.8|0|USMBURC|DISBUYER|USSPATE|0||0|0|0|0|0|1|0|0|145.8|0|0|1|0|0|20||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251001|200316|20251003|3|USSPATE|1759502394643|0|||||||||||||0|0|0|0|0|0|0|0|0|||
