Functional SecurityRole Name,Description,SecurityRole,EmailId
MROILSGL,MROILSGL,MSTRDATA,
MROILSGL,MROILSGL,MSTRVIEW,
MROINTENT,MROINTENT,MISC,
MROINTENT,MROINTENT,MSTRDATA,
MROINTENT,MROINTENT,SECADMIN,
MROLOCPU1,MROLOCPU1,MSTRVIEW,
MROLOCPUR,MRO Procurement,APPOST,
MROLOCPUR,MRO Procurement,CASHBANK,
MROLOCPUR,MRO Procurement,FINVIEW,
MROLOCPUR,MRO Procurement,MISC,
MROLOCPUR,MRO Procurement,MSTRVIEW,
MROLOCREC,MRO PO Receiving,CASHBANK,
MROLOCREC,MRO PO Receiving,FINVIEW,
MROLOCREC,MRO PO Receiving,MISC,
MROLOCREC,MRO PO Receiving,MSTRVIEW,
MROMGMTGL,MROMGMTGL,FINVIEW,
MROMGMTGL,MROMGMTGL,MISC,
MROMGMTGL,MROMGMTGL,MSTRDATA,
MROOPER,MROOPER,MSTRDATA,
MROPLAN,MROPLAN,APPOST,
MROPLAN,MROPLAN,FINVIEW,
MROPLAN,MROPLAN,MISC,
MROPLAN,MROPLAN,MSTRDATA,
MROPLAN,MROPLAN,MSTRVIEW,
MROPLANCO,MROPLANCO,APPOST,
MROPLANCO,MROPLANCO,FINVIEW,
MROPLANCO,MROPLANCO,MISC,
MROPLANCO,MROPLANCO,MSTRDATA,
MROPLANGL,MROPLANGL,APPOST,
MROPLANGL,MROPLANGL,FINVIEW,
MROPLANGL,MROPLANGL,MISC,
MROPLANGL,MROPLANGL,MSTRDATA,
MROPLANGL,MROPLANGL,MSTRVIEW,
MROPLCPO,MROPLCPO,APPOST,
MROPLCPO,MROPLCPO,FINVIEW,
MROPLCPO,MROPLCPO,MISC,
MROPLCPO,MROPLCPO,MSTRDATA,
MROPLCPO,MROPLCPO,MSTRVIEW,
MROPLNOPO,MROPLNOPO,APPOST,
MROPLNOPO,MROPLNOPO,FINVIEW,
MROPLNOPO,MROPLNOPO,MISC,
MROPLNOPO,MROPLNOPO,MSTRDATA,
MROPLNOPO,MROPLNOPO,MSTRVIEW,
MROPLPOGL,MROPLPOGL,APPOST,
MROPLPOGL,MROPLPOGL,FINVIEW,
MROPLPOGL,MROPLPOGL,MISC,
MROPLPOGL,MROPLPOGL,MSTRDATA,
MROPLPOGL,MROPLPOGL,MSTRVIEW,
MROPURCH,MROPURCH,APPOST,
MROPURCH,MROPURCH,FINVIEW,
MROPURCH,MROPURCH,MISC,
MROPURCH,MROPURCH,MSTRDATA,
MROPURCH,MROPURCH,MSTRVIEW,
MROPURCOS,MROPURCOS,APPOST,
MROPURCOS,MROPURCOS,FINVIEW,
MROPURCOS,MROPURCOS,MISC,
MROPURCOS,MROPURCOS,MSTRDATA,
MROPURCOS,MROPURCOS,MSTRVIEW,
MROPURGL,MROPURGL,APPOST,
MROPURGL,MROPURGL,FINVIEW,
MROPURGL,MROPURGL,MISC,
MROPURGL,MROPURGL,MSTRDATA,
MROPURGL,MROPURGL,MSTRVIEW,
MROPURPLA,MROPURPLA,APPOST,
MROPURPLA,MROPURPLA,FINVIEW,
MROPURPLA,MROPURPLA,MISC,
MROPURPLA,MROPURPLA,MSTRDATA,
MROPURPLA,MROPURPLA,MSTRVIEW,
MROSUPUSR,MROSUPUSR,MISC,
MROSUPUSR,MROSUPUSR,MSTRDATA,
MROSUPUSR,MROSUPUSR,SECADMIN,
MROSURP,MROSURP,MISC,
MROSURP,MROSURP,MSTRDATA,
MROT&A,MROT&A,MSTRDATA,
MROVIEWGL,MROVIEWGL,FINVIEW,
