Functional SecurityRole Name,Description,SecurityRole,EmailId
*ADMIN,*ADMIN,CRADMRO,
*ADMIN,*ADMIN,CRADMRW,
*ADMIN,*ADMIN,GLADMRW,
*ADMIN,*ADMIN,MNADMRW,
*ADMIN,*ADMIN,PPADMRW,
*ADMIN,*ADMIN,RGADMRO,
*ADMIN,*ADMIN,RGADMRW,
*ADMIN,*ADMIN,SEADMRW,
*ADMIN,*ADMIN,TXADMRW,
*EPRVIEW,*EPRVIEW,PPEPRRO,
FSR_AUDITOR,AUDITOR,FGR001_RO,
FSR_AUDITOR,AUDITOR,FGR003_RO,
FSR_AUDITOR,AUDITOR,FGR004_RO,
FSR_AUDITOR,AUDITOR,FGR005_RO,
FSR_AUDITOR,AUDITOR,FGR006_RO,
FSR_AUDITOR,AUDITOR,FGR010_RO,
FSR_AUDITOR,AUDITOR,FGR012_RO,
FSR_AUDITOR,AUDITOR,FGR013_RO,
FSR_AUDITOR,AUDITOR,FGR014_RO,
FSR_AUDITOR,AUDITOR,FGR020_RO,
FSR_AUDITOR,AUDITOR,FGR021_RO,
FSR_AUDITOR,AUDITOR,FGR022_RO,
FSR_AUDITOR,AUDITOR,FGR023_RO,
FSR_AUDITOR,AUDITOR,FGR025_RO,
FSR_AUDITOR,AUDITOR,FGR029_RO,
FSR_AUDITOR,AUDITOR,FGR030_RO,
FSR_AUDITOR,AUDITOR,FGR031_RO,
FSR_AUDITOR,AUDITOR,FGR032_RO,
FSR_AUDITOR,AUDITOR,FGR035_RO,
FSR_AUDITOR,AUDITOR,FGR039_RO,
FSR_AUDITOR,AUDITOR,FGR040_RO,
FSR_AUDITOR,AUDITOR,FGR041_RO,
FSR_AUDITOR,AUDITOR,FGR042_RO,
FSR_AUDITOR,AUDITOR,FGR045_RO,
FSR_AUDITOR,AUDITOR,FGR049_RO,
FSR_AUDITOR,AUDITOR,FGR050_RO,
FSR_AUDITOR,AUDITOR,FGR059_RO,
FSR_AUDITOR,AUDITOR,FGR060_RO,
