Functional SecurityRole Name,Description,SecurityRole,EmailId
FSR_MROWAR1PO,MROWAR1PO,FGR030_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR031_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR032_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR035_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR039_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR050_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR051_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR052_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR055_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR059_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR060_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR061_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR062_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR065_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR069_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR150_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR151_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR152_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR155_RO,
FSR_MROWAR1PO,MROWAR1PO,FGR159_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR030_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR031_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR032_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR035_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR039_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR050_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR051_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR052_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR055_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR059_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR060_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR061_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR062_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR065_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR069_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR150_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR151_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR152_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR155_RO,
FSR_MROWAR2PO,MROWAR2PO,FGR159_RO,
FSR_MROWARE1,MROWARE1,FGR030_RO,
FSR_MROWARE1,MROWARE1,FGR031_RO,
FSR_MROWARE1,MROWARE1,FGR032_RO,
FSR_MROWARE1,MROWARE1,FGR035_RO,
FSR_MROWARE1,MROWARE1,FGR039_RO,
FSR_MROWARE1,MROWARE1,FGR050_RO,
FSR_MROWARE1,MROWARE1,FGR051_RO,
FSR_MROWARE1,MROWARE1,FGR052_RO,
FSR_MROWARE1,MROWARE1,FGR055_RO,
FSR_MROWARE1,MROWARE1,FGR059_RO,
FSR_MROWARE1,MROWARE1,FGR060_RO,
FSR_MROWARE1,MROWARE1,FGR061_RO,
FSR_MROWARE1,MROWARE1,FGR062_RO,
FSR_MROWARE1,MROWARE1,FGR065_RO,
FSR_MROWARE1,MROWARE1,FGR069_RO,
FSR_MROWARE1,MROWARE1,FGR150_RO,
FSR_MROWARE1,MROWARE1,FGR151_RO,
FSR_MROWARE1,MROWARE1,FGR152_RO,
FSR_MROWARE1,MROWARE1,FGR155_RO,
FSR_MROWARE1,MROWARE1,FGR159_RO,
FSR_MROWARE2,MROWARE2,FGR030_RO,
FSR_MROWARE2,MROWARE2,FGR031_RO,
FSR_MROWARE2,MROWARE2,FGR032_RO,
FSR_MROWARE2,MROWARE2,FGR035_RO,
FSR_MROWARE2,MROWARE2,FGR039_RO,
FSR_MROWARE2,MROWARE2,FGR050_RO,
FSR_MROWARE2,MROWARE2,FGR051_RO,
FSR_MROWARE2,MROWARE2,FGR052_RO,
FSR_MROWARE2,MROWARE2,FGR055_RO,
FSR_MROWARE2,MROWARE2,FGR059_RO,
FSR_MROWARE2,MROWARE2,FGR060_RO,
FSR_MROWARE2,MROWARE2,FGR061_RO,
FSR_MROWARE2,MROWARE2,FGR062_RO,
FSR_MROWARE2,MROWARE2,FGR065_RO,
FSR_MROWARE2,MROWARE2,FGR069_RO,
FSR_MROWARE2,MROWARE2,FGR150_RO,
FSR_MROWARE2,MROWARE2,FGR151_RO,
FSR_MROWARE2,MROWARE2,FGR152_RO,
FSR_MROWARE2,MROWARE2,FGR155_RO,
FSR_MROWARE2,MROWARE2,FGR159_RO,
FSR_MROWAREGL,MROWAREGL,FGR006_RO,
FSR_MROWAREGL,MROWAREGL,FGR030_RO,
FSR_MROWAREGL,MROWAREGL,FGR031_RO,
FSR_MROWAREGL,MROWAREGL,FGR032_RO,
FSR_MROWAREGL,MROWAREGL,FGR035_RO,
FSR_MROWAREGL,MROWAREGL,FGR039_RO,
FSR_MROWAREGL,MROWAREGL,FGR050_RO,
FSR_MROWAREGL,MROWAREGL,FGR051_RO,
FSR_MROWAREGL,MROWAREGL,FGR052_RO,
FSR_MROWAREGL,MROWAREGL,FGR055_RO,
FSR_MROWAREGL,MROWAREGL,FGR059_RO,
FSR_MROWAREGL,MROWAREGL,FGR060_RO,
FSR_MROWAREGL,MROWAREGL,FGR061_RO,
FSR_MROWAREGL,MROWAREGL,FGR062_RO,
FSR_MROWAREGL,MROWAREGL,FGR065_RO,
FSR_MROWAREGL,MROWAREGL,FGR069_RO,
FSR_MROWAREGL,MROWAREGL,FGR150_RO,
FSR_MROWAREGL,MROWAREGL,FGR151_RO,
FSR_MROWAREGL,MROWAREGL,FGR152_RO,
FSR_MROWAREGL,MROWAREGL,FGR155_RO,
FSR_MROWAREGL,MROWAREGL,FGR159_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR030_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR031_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR032_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR035_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR039_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR050_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR051_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR052_RO,
FSR_MROWH1CPO,MROWH1CPO,FGR055_RO,
