Functional SecurityRole Name,Description,SecurityRole,EmailId
FULL_ACCESS,Full access to everything,LCLLSP-PrivilegedUser,
FULL_ACCESS,Full access to everything,LCLLSP-AppAdmin,
FULL_ACCESS,Full access to everything,LCLLSP-Admin,
FULL_ACCESS,Full access to everything,IPW-User,
FULL_ACCESS,Full access to everything,IPI-ModelerViewer,
FULL_ACCESS,Full access to everything,IPI-ModelerDesigner,
FULL_ACCESS,Full access to everything,IPI-ModelerAdmin,
FULL_ACCESS,Full access to everything,IONDeskSecurityAdmin,
FULL_ACCESS,Full access to everything,IONDeskOAuthGenerator,
FULL_ACCESS,Full access to everything,IONDeskAdmin,
FULL_ACCESS,Full access to everything,IONContentProvider,
FULL_ACCESS,Full access to everything,IONAPI-User,
FULL_ACCESS,Full access to everything,IONAPI-Tracing,
FULL_ACCESS,Full access to everything,IONAPI-Developer,
FULL_ACCESS,Full access to everything,IONAPI-BaaS-User,
FULL_ACCESS,Full access to everything,IONAPI-BaaS-Developer,
FULL_ACCESS,Full access to everything,IONAPI-BaaS-DataAdministrator,
FULL_ACCESS,Full access to everything,IONAPI-BaaS-Administrator,
FULL_ACCESS,Full access to everything,IONAPI-Administrator,
FULL_ACCESS,Full access to everything,Infor-SystemAdministrator,
FULL_ACCESS,Full access to everything,Infor-SuiteUser,
FULL_ACCESS,Full access to everything,INBOX-PowerUser,
FULL_ACCESS,Full access to everything,INBOX-Admin,
FULL_ACCESS,Full access to everything,IFSApplicationAdmin,
FULL_ACCESS,Full access to everything,IFSAdminContact,
FULL_ACCESS,Full access to everything,IFS-ShowUserManagementUI,
FULL_ACCESS,Full access to everything,IFS-ReadOnlyUser,
FULL_ACCESS,Full access to everything,IFS-ReadOnly,
FULL_ACCESS,Full access to everything,IFS-PasswordAdmin,
FULL_ACCESS,Full access to everything,IFS-MonitorReportUser,
FULL_ACCESS,Full access to everything,IFS-MonitorAdministrator,
FULL_ACCESS,Full access to everything,IFS-GroupsUpdate,
FULL_ACCESS,Full access to everything,IFS-GroupsReadOnlyUser,
FULL_ACCESS,Full access to everything,IFS-GroupsAdmin,
FULL_ACCESS,Full access to everything,IFS-ExternalEntityAdmin,
FULL_ACCESS,Full access to everything,IFS-AuditReportUser,
FULL_ACCESS,Full access to everything,IFS-AuditAdministrator,
FULL_ACCESS,Full access to everything,IECEC-User,
FULL_ACCESS,Full access to everything,IECEC-Administrator,
FULL_ACCESS,Full access to everything,IDM-User,
FULL_ACCESS,Full access to everything,IDM-SuperUser,
FULL_ACCESS,Full access to everything,IDM-SignatureUser,
FULL_ACCESS,Full access to everything,IDM-RelatedInformationUser,
FULL_ACCESS,Full access to everything,IDM-AdvancedUser,
FULL_ACCESS,Full access to everything,IDM-Administrator,
FULL_ACCESS,Full access to everything,IAD-TemplateBuilder,
FULL_ACCESS,Full access to everything,IAD-Publisher,
FULL_ACCESS,Full access to everything,IAD-Designer,
FULL_ACCESS,Full access to everything,IAD-DataMaintainer,
FULL_ACCESS,Full access to everything,HOMEPAGES-User,
FULL_ACCESS,Full access to everything,HOMEPAGES-ContentSupport,
FULL_ACCESS,Full access to everything,HOMEPAGES-ContentAdministrator,
FULL_ACCESS,Full access to everything,HOMEPAGES-Administrator,
FULL_ACCESS,Full access to everything,GRID-Viewer,
FULL_ACCESS,Full access to everything,GRID-SystemAdministrator,
FULL_ACCESS,Full access to everything,GRID-Administrator,
FULL_ACCESS,Full access to everything,GDPR-Collaboration-DataProtectionOfficer,
FULL_ACCESS,Full access to everything,GDPR-Collaboration-ChiefDataProtectionOfficer,
FULL_ACCESS,Full access to everything,GDPR-App-Administrator,
FULL_ACCESS,Full access to everything,EVENTHUB-User,
FULL_ACCESS,Full access to everything,EVENTHUB-Administrator,
FULL_ACCESS,Full access to everything,ENTERPRISESEARCH-User,
FULL_ACCESS,Full access to everything,ENTERPRISESEARCH-PowerUser,
FULL_ACCESS,Full access to everything,ENTERPRISESEARCH-Admin,
FULL_ACCESS,Full access to everything,DocBits-User,
FULL_ACCESS,Full access to everything,DECISIONSERVICE-Editor,
FULL_ACCESS,Full access to everything,DECISIONSERVICE-Approver,
FULL_ACCESS,Full access to everything,DATALAKE-User,
FULL_ACCESS,Full access to everything,DATALAKE-SystemAdministrator,
FULL_ACCESS,Full access to everything,DATALAKE-DataAdministrator,
FULL_ACCESS,Full access to everything,DATAFABRIC-User,
FULL_ACCESS,Full access to everything,DATAFABRIC-SuperAdmin,
FULL_ACCESS,Full access to everything,DATAFABRIC-HealthServiceAdmin,
FULL_ACCESS,Full access to everything,DataAdministrator,
FULL_ACCESS,Full access to everything,Birst-User,
FULL_ACCESS,Full access to everything,Birst-SystemAdministrator,
FULL_ACCESS,Full access to everything,APPBUILDER-User,
FULL_ACCESS,Full access to everything,APPBUILDER-Designer,
FULL_ACCESS,Full access to everything,APPBUILDER-Administrator,
FULL_ACCESS,Full access to everything,AttributeServiceCaller,
