200,00967806040,0096780604080,76780604001,,EA,0,2025-08-25,,,,,,,,,,,,,,,,,,,,,
200,00967806040,0096780604080,76780604002,,EA,25,2025-08-28,,,,,,,,,,,,,,,,,,,,,
200,00967712143,0096771214310,76771214301,,EA,0,2026-08-25,,,,,,,,,,,,,,,,,,,,,
200,00967712142,0096771214210,76771214201,,EA,0,2026-09-04,,,,,,,,,,,,,,,,,,,,,
200,00967712141,0096771214110,76771214101,,EA,0,2026-08-26,,,,,,,,,,,,,,,,,,,,,
200,00967712140,0096771214010,76771214001,,EA,0,2026-08-28,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213910,76771213901,,EA,0,2026-09-10,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213920,76771213902,,EA,0,2026-10-01,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213930,76771213903,,EA,0,2026-09-10,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213940,76771213904,,EA,0,2026-09-10,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213950,76771213905,,EA,0,2026-10-01,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213960,76771213906,,EA,0,2026-09-10,,,,,,,,,,,,,,,,,,,,,
200,00967712139,0096771213970,76771213907,,EA,0,2026-09-17,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213810,76771213801,,EA,0,2026-11-10,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213820,76771213802,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213830,76771213803,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213840,76771213804,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213850,76771213805,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213860,76771213806,,EA,0,2026-11-10,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213870,76771213807,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213880,76771213808,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,0096771213890,76771213809,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138100,767712138010,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138110,767712138011,,EA,0,2026-11-17,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138120,767712138012,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138130,767712138013,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138140,767712138014,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138150,767712138015,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138160,767712138016,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138170,767712138017,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712138,00967712138180,767712138018,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213710,76771213701,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213720,76771213702,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213730,76771213703,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213740,76771213704,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213750,76771213705,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213760,76771213706,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213770,76771213707,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213780,76771213708,,EA,0,2026-11-10,,,,,,,,,,,,,,,,,,,,,
200,00967712137,0096771213790,76771213709,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137100,767712137010,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137110,767712137011,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137120,767712137012,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137130,767712137013,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137140,767712137014,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712137,00967712137150,767712137015,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712136,0096771213610,76771213601,,IN,0,2026-08-31,,,,,,,,,,,,,,,,,,,,,
200,00967712136,0096771213620,76771213602,,IN,0,2026-09-15,,,,,,,,,,,,,,,,,,,,,
200,00967712136,0096771213630,76771213603,,IN,0,2026-09-15,,,,,,,,,,,,,,,,,,,,,
200,00967712136,0096771213640,76771213604,,IN,0,2026-09-15,,,,,,,,,,,,,,,,,,,,,
200,00967712136,0096771213650,76771213605,,IN,0,2026-09-15,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213510,76771213501,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213520,76771213502,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213530,76771213503,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213540,76771213504,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213550,76771213505,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213560,76771213506,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712135,0096771213570,76771213507,,EA,0,2026-09-02,,,,,,,,,,,,,,,,,,,,,
200,00967712134,0096771213410,76771213401,,EA,0,2026-08-26,,,,,,,,,,,,,,,,,,,,,
200,00967712133,0096771213310,76771213301,,EA,0,2026-08-31,,,,,,,,,,,,,,,,,,,,,
200,00967712132,0096771213210,76771213201,,EA,0,2026-09-17,,,,,,,,,,,,,,,,,,,,,
200,00967712131,0096771213110,76771213101,,EA,0,2026-10-22,,,,,,,,,,,,,,,,,,,,,
200,00967712131,0096771213120,76771213102,,EA,0,2026-09-03,,,,,,,,,,,,,,,,,,,,,
200,00967712131,0096771213130,76771213103,,EA,0,2026-09-03,,,,,,,,,,,,,,,,,,,,,
200,00967712130,0096771213010,76771213001,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712130,0096771213020,76771213002,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712130,0096771213030,76771213003,,EA,0,2026-11-03,,,,,,,,,,,,,,,,,,,,,
200,00967712130,0096771213040,76771213004,,EA,0,2026-10-27,,,,,,,,,,,,,,,,,,,,,
200,00967712130,0096771213050,76771213005,,EA,0,2026-10-27,,,,,,,,,,,,,,,,,,,,,
