iwjnu,iwprd,iwprt,iwseqn,iwfile,iwpacn,iwitno,iwridn,iwridl,iwagnb,iwpaco,iwbano,iwridx
583916,32043,732607,1,PPTRNS,BOX1000034001,1,,,,,,
583916,32043,732607,2,PFTRNS,,Y10010,1000034,10,2510001,1,,
