mmcono|mmstat|mmitno|mmitds|mmfuds|mmdwno|mmresp|mmdccd|mmunms|mmitgr|mmitcl|mmbuar|mmevgr|mmitty|mmtpcd|mmmabu|mmchcd|mmstcd|mmbacd|mmvol3|mmnewe|mmgrwe|mmppun|mmbypr|mmwapc|mmqacd|mmepcd|mmpocy|mmacti|mmhie1|mmhie2|mmhie3|mmhie4|mmhie5|mmgrp1|mmgrp2|mmgrp3|mmgrp4|mmgrp5|mmcfi1|mmcfi2|mmcfi3|mmcfi4|mmcfi5|mmeccc|mmtxid|mmdtid|mmecve|mmecac|mmecma|mmecfl|mmwsca|mmprgp|mmetrf|mmacrf|mmindi|mmpuun|mmautc|mmaluc|mmpdcc|mmieaa|mmride|mmridc|mmgrti|mmgrts|mmexpd|mmitrf|mmprcm|mmgrmt|mmhazi|mmsale|mmfrag|mmtaxc|mmatmo|mmatmn|mmtpli|mmfcu1|mmsuno|mmpupr|mmpucd|mmcucd|mmppdt|mmsapr|mmstun|mmsacd|mmcucs|mmspdt|mmdigi|mmbgrp|mmprvg|mmfre3|mmfre4|mmotdi|mmbogr|mmprgr|mmlama|mmachk|mmbpey|mmspun|mmspuc|mmalun|mmunnn|mmunpa|mmhac1|mmhac2|mmhac3|mmdim1|mmdim2|mmdim3|mmspe1|mmspe2|mmspe3|mmspe4|mmspe5|mmcety|mmstcn|mmspac|mmtrpa|mmprod|mmsmfi|mmtank|mmarpa|mmarpr|mmampt|mmawdy|mmnpto|mmmes1|mmmes2|mmmes3|mmmes4|mmmva1|mmmva2|mmmva3|mmmva4|mmpeq1|mmpeq2|mmpeq3|mmpeq4|mmpet1|mmpet2|mmpet3|mmpet4|mmmpgm|mmorty|mmplcd|mmmapl|mmtohi|mmtore|mmfeba|mmmapn|mmdoid|mmsepr|mmstcs|mmnesa|mmnsuf|mmfccm|mmdpid|mmconc|mmplmz|mmcco1|mmcco2|mmcco3|mmwady|mmtbsr|mmmbsr|mmtbur|mmmbur|mmtbfr|mmmbfr|mmaesc|mmaes2|mmamor|mmfunc|mmstnc|mmdirr|mmmdir|mmscgr|mmarr1|mmaeqy|mmleai|mmwal1|mmwal2|mmwal3|mmwal4|mmiacp|mmhdpr|mmaad0|mmaad1|mmchcl|mmitrc|mmvtcp|mmvtcs|mmrgdt|mmrgtm|mmlmdt|mmchno|mmchid|mmlmts|mmatnr|mmnmit|mmtecr|mmexca|mmcawp|mmcwun|mmcpun|mmilen|mmiwid|mmihei|mmrnri|mmsafc|mmrmsg|mmmotp|mmacmc|mmaccg|mmcci1|mmcccm|mmcri1|mmitru|mmhvmt|mmitne|mmqmgp|mmspgv|mmruid|mmspih|mmqirq|mmpdln|mmcpgr|mmsume|mmsump|mmsrgr|mmtagr|mmowct|mmowfa
200|20|CLTCHGE0012004|CLTCHGE0012004|CLTCHGE0012004||WBOLIN01|0|EA|ZZZZZ|ZZZ|||C01|0|2|3|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|WIRERIVNS016040|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260325|195650|20260325|2|WBOLIN01|1776702151960|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|CLTCHGE0012004||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|CRD00001|CRD - JEWELRY DIE #1|CRD - JEWELRY DIE #1||DISADMIN|0|EA|C4010|C4011|||C01|0|2|3|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|CRM00001|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164436|20260424|2|ATHARH01|1777001520826|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|CRD00001||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|CRD00002|CRD - JEWELRY DIE #2|CRD - JEWELRY DIE #2||DISADMIN|0|EA|ZZZZZ|ZZZ|||C01|0|2|3|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|CRD00001|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164436|20260420|2|ERICP01|1776703476798|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|CRD00002||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|CRS00000|CRS - BLUE SAPHIRE|RING STONE - BLUE SPAHIRE||DISADMIN|0|EA|ZZZZZ|ZZZ|||C01|0|2|3|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|Y90095|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|2|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164022|20260420|2|ERICP01|1776703222083|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|CRS00000||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|CRS00001|CRS - GARNET|CRS - GARNET||DISADMIN|0|EA|ZZZZZ|ZZZ|||C01|0|2|3|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|CRS00000|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|2|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164022|20260420|2|ERICP01|1776703222120|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|CRS00001||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|F144|J05830100 SUBASSEMBLY|J05830100 SUBASSEMBLY||WBOLIN01|0|EA|GE020|GE024|||J01|0|1|2|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|GREEKSUB|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|2|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260427|180311|20260427|2|WBOLIN01|1777313014747|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|F144||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|F144D|CRD - JEWELRY DIE #1|CRD - JEWELRY DIE #1||DISADMIN|0|EA|C4010|C4011|||C01|0|2|2|1|0|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||2|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|CRD00001|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260427|181635|20260427|1|WBOLIN01|1777313795541|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|F144D||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|F1947AM|GREEK PIN SUBASSEMBLY|GREEK PIN SUBASSEMBLY J00670100 A||WBOLIN01|0|EA|GE040|ZZZ|||J01|0|1|1|1|1|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||3|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|GREEKSUB|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164022|20260422|3|WBOLIN01|1776895671068|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|F1947AM||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|F1947B|GREEK PIN SUBASSEMBLY|GREEK PIN SUBASSEMBLY J00670100 B||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|1|1|1|1|1|1|EA|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||3|EA|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|GREEKSUB|1|Y60001|20|1|USD|20251121|100|EA|0|USD|20230720|||Y1|||0|2|2|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260420|164022|20260423|1|WBOLIN01|1776978698618|0|00||0|0|EA|EA|1|1|1|0||0|||||||0|0|F1947B||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|FL010064X300|FLATSTOCK 10K YELLOW 064X3X36|FLATSTOCK 10K YELLOW 064X3X36||WBOLIN01|4|DWT|C2020|C2022|||C02|0|2|1|1|1|1|1|1|DWT|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||3|DWT|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|FL010080X300|1|Y60001|1|1|USD|20251121|100|OZ|0|USD|20230720|||Y1|||0|2|2|0|0|0|OZ|1|OZ|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260427|182342|20260427|2|WBOLIN01|1777314236934|0|00||0|0|DWT|OZ|1|1|1|0||0|||||||0|0|FL010064X300||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|FL010080X300|FLATSTOCK 10K YELLOW 080X3X36|FLATSTOCK 10K YELLOW 080X3X36||WBOLIN01|4|DWT|C2020|C2022|||C02|0|2|1|1|1|1|1|1|DWT|0|0|0|0|0|0|Y2|Y2Y20|Y2Y20Y30|Y2Y20Y30Y40|Y2Y20Y30Y40Y500|Y2|Y20|Y30|Y40|Y500||0|||||0|0|||0|0|||||3|DWT|0|2|2|0||0|||0|||D1P|0|1|0|TAX|GE020|1|FL0GF080X300|1|Y60001|1|1|USD|20251121|100|OZ|0|USD|20230720|||Y1|||0|2|2|0|0|0|OZ|1|OZ|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260319|2044|20260420|3|WBOLIN01|1776701138934|0|00||0|0|DWT|OZ|1|1|1|0||0|||||||0|0|FL010080X300||0|JEWEL_BADGE|0|0|||0||0||0|
