CIFILE	CISOPT	CITX40	CITX15	CIKEY1	CIAGG1	CIDSC1	CIKEY2	CIAGG2	CIDSC2	CIKEY3	CIAGG3	CIDSC3	CIKEY4	CIAGG4	CIDSC4	CIKEY5	CIAGG5	CIDSC5	CIKEY6	CIAGG6	CIDSC6	CIKEY7	CIAGG7	CIDSC7	CIKEY8	CIAGG8	CIDSC8	CIKEY9	CIAGG9	CIDSC9	CIKE10	CIAG10	CIDS10	CIKE11	CIAG11	CIDS11	CIKE12	CIAG12	CIDS12	CIKE13	CIAG13	CIDS13	CIKE14	CIAG14	CIDS14	CIKE15	CIAG15	CIDS15	CISEL1	CISOK1	CIOPR1	CIVAL1	CISEL2	CISOK2	CIOPR2	CIVAL2	CISEL3	CISOK3	CIOPR3	CIVAL3	CISEL4	CISOK4	CIOPR4	CIVAL4	CISEL5	CISOK5	CIOPR5	CIVAL5	CISEL6	CISOK6	CIOPR6	CIVAL6	CISTAT	CITXID	CIRGDT	CIRGTM	CILMDT	CICHNO	CICHID	CIMS51	CIMS52	CIMS53	CIMS54	CILMTS	CIJNSO	CIJNTB	CISOPM	CISOPJ	CISECF
MPCELN    	00	MPCELN00	MPCELN00       	ILCEID	0	0	ILLNCD	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65846	20131219	0	MOVEX     	WCE02	WLN01	     	     	1387465126807	0	          	  	  	
MPCELN    	10	MPCELN10	MPCELN10       	ILLNCD	0	0	ILCEID	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65846	20131219	0	MOVEX     	WLN01	WCE02	     	     	1387465126807	0	          	  	  	
MPCGRP    	00	MPCGRP00	MPCGRP00       	CGCGRP	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30835	20140322	0	MOVEX     	WCGRP	     	     	     	1395482915372	0	          	  	  	
MPCKLT    	00	MPCKLT00	MPCKLT00       	NTHLDR	0	0	NTPACT	0	0	NTBANO	0	0	NTDLIX	0	0	NTRGDT	0	0	NTRGTM	0	0	NTTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65728	20131219	0	MOVEX     	WHL04	WPA09	WBA04	WDL02	1387465048847	0	          	  	  	
MPCKLT    	10	MPCKLT10	MPCKLT10       	NTDLIX	0	0	NTHLDR	0	0	NTPACT	0	0	NTBANO	0	0	NTRGDT	0	0	NTRGTM	0	0	NTTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65728	20131219	0	MOVEX     	WDL02	WHL04	WPA09	WBA04	1387465048863	0	          	  	  	
MPCKLT    	20	MPCKLT20	MPCKLT20       	NTTRNR	0	0	NTPON2	0	0	NTPOS2	0	0	NTDLIX	0	0	NTHLDR	0	0	NTPACT	0	0	NTBANO	0	0	NTRGDT	0	0	NTRGTM	0	0	NTTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65728	20131219	0	MOVEX     	WTR09	WPO03	WPO02	WDL02	1387465048863	0	          	  	  	
MPCKLT    	30	MPCKLT30	MPCKLT30       	NTHLDR	0	0	NTPACT	0	0	NTBANO	0	0	NTRGDT	0	0	NTRGTM	0	0	NTTMSX	0	0	NTDLIX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65728	20131219	0	MOVEX     	WHL04	WPA09	WBA04	WRGD1	1387465048863	0	          	  	  	
MPCKLT    	40	MPCKLT40	MPCKLT40       	NTPACT	0	0	NTBANO	0	0	NTRGDT	0	0	NTRGTM	0	0	NTTMSX	0	0	NTDLIX	0	0	NTHLDR	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65728	20131219	0	MOVEX     	WPA09	WBA04	WRGD1	WRG01	1387465048863	0	          	  	  	
MPCLAH    	00	MPCLAH00	MPCLAH00       	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WCLA6	     	     	     	1387465132462	0	          	  	  	
MPCLAH    	10	MPCLAH10	MPCLAH10       	CHFACI	0	0	CHWHLO	0	0	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WFAC3	WWH01	WCLA6	     	1387465132462	0	          	  	  	
MPCLAH    	20	MPCLAH20	MPCLAH20       	CHCLRE	0	0	CHWHLO	0	0	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WCL39	WWH01	WCLA6	     	1387465132462	0	          	  	  	
MPCLAH    	30	MPCLAH30	MPCLAH30       	CHCLRF	0	0	CHWHLO	0	0	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WCL40	WWH01	WCLA6	     	1387465132462	0	          	  	  	
MPCLAH    	40	MPCLAH40	MPCLAH40       	CHSUNO	0	0	CHWHLO	0	0	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WSU01	WWH01	WCLA6	     	1387465132478	0	          	  	  	
MPCLAH    	50	MPCLAH50	MPCLAH50       	CHFACI	0	0	CHWHLO	0	0	CHPUNO	0	0	CHCLAN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65852	20131219	0	MOVEX     	WFAC3	WWH01	WPU08	WCLA6	1387465132478	0	          	  	  	
MPCLAL    	00	MPCLAL00	MPCLAL00       	CLCLAN	0	0	CLCLLN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65853	20131219	0	MOVEX     	WCLA6	WCL41	     	     	1387465133028	0	          	  	  	
