"Type","ID","Name","thgskuid","thghjlegacyerpproductnumber","thgproductsize","thgskutype","thghjlegacyerpproductdescription","thgskustatus","thgskuname","thgskudescription","thguom","itemgroup","productgroup","itemtype","thgprimarymakebuy","thgnetweight","thggrossweight","thgproducttaxcode","thgreturnsallowed","thgareaofstudy","thgdegreedependent","thgdegreetype","thghjproductcollection","thghjschoolyear","thghjyeardated","thglicensingrate","thglicensingreferenceid","thgpackagingchangeoffered","thgpackagingoption","thgprimaryproductmaterial","thgproductcontent","thgproductroyaltygroup","thgproductid","accessorytype","badgetype","basecolor","chainlength","chaintype","charmtype","closuretype","color1","color2","color3","comeswithchain","comeswithcharmpendanttag","cordtype","thgdimensions","earringtype","embelishmentdecorating","engraving","engravingfont","engravinglines","engravingmaxcharacters","engravingmincharacters","engravingoptions","engravingpriceperchar","engravingsurcharge","fabrictype","findings","greekletter","greekletterdependent","hasstone","metalandmetalquality","metalfinishingfutroncolor","metalfinishingfutronrequired","metalfinishingnumberoffutroncolors","metalfinishingplating","metalfinishingpolishing","metalfinishingspiritblastcolorfinish","multipiececonstruction","pinshape","primaryribboncolor","ringfingersize","ringstylesize","ringtype","pintype","pendanttype","necklacetype","bracelettype","medaltype","insigniatype","secondaryribboncolor","sides","sizecategory","stoletype","stonearrangement","stonebottomcut","stonecolor","stonecolorbirthstone","stonequality","stonequalitydiamond","stoneshape","stonesize","stonetopcut","stonetreatment","stonetype","trimcolor","weavingtype","thgaltimagetext1","thgaltimagetext10","thgaltimagetext2","thgaltimagetext3","thgaltimagetext4","thgaltimagetext5","thgaltimagetext6","thgaltimagetext7","thgaltimagetext8","thgaltimagetext9","thgimagefilename10","thgimagefilename2","thgimagefilename3","thgimagefilename4","thgimagefilename5","thgimagefilename6","thgimagefilename7","thgimagefilename8","thgimagefilename9","thgimagesourcealt10","thgimagesourcealt4","thgimagesourcealt5","thgimagesourcealt6","thgimagesourcealt7","thgimagesourcealt8","thgimagesourcealt9","thgimagesourcealt1","thgimagesourcealt2","thgimagesourcealt3","thgimagesourcemain","thgimagetitle1","thgimagetitle10","thgimagetitle2","thgimagetitle3","thgimagetitle4","thgimagetitle5","thgimagetitle6","thgimagetitle7","thgimagetitle8","thgimagetitle9","thgmainimagefilename","thgmainimagetext","thgmainimagetitle","thghjbusinessentity","thghtcs","thgproductionleadtimeindays","thgspecialtyitem","thgspecialtyitemfulfillment","thgupc","thgwarrantydetail","thg3dmodel","thgecommercetaxonomy","thgfeaturedproduct","thgnewproduct","thgproductconfigurationrequired","thgproductpersonalizationallowed","thgproductpersonalizationrequired","thgproductsellable","thgrestricteditem","thgweblongdescription","thgwebshortdescription","metalweightdwt","metal","metalquality","containsgold","thglicensed","thglicensedcollection","Column(152)","Column(153)","Column(154)","Column(155)","Column(156)","Column(157)","Column(158)","Column(159)","Column(160)","Column(161)","Column(162)","Column(163)","Column(164)","Column(165)","Column(166)","Column(167)","Product Taxonomy"
"sku","","","A000032054","5-9504  SS LT","","Finished Good","LAPEL TAC - BSN NURSING","20","LAPEL TAC - BSN NURSING","LAPEL TAC - BSN NURSING","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7113113000","","","","","","","","","","","","","","","","","","","Sterling Silver","N","","","5-9504 SS LT","Medical","SCHULL, ANDREW","020120","MRA","Sterling Silver","08/01/25","07/31/26","","43.75","90","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000034073","6-0402  MSC","","Finished Good","LUCITE TROPHY WITH XAVIER HS","20","LUCITE TROPHY WITH XAVIER HS","LUCITE TROPHY WITH XAVIER HS","Each","Gifts & Keepsakes","Plaques","Jewelry","Purchased","","","Gifts & Keepsakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","","","","6-0402 MSC","Education","XAVIER HIGH SCHOOL","061062","MRA","Non Metal","07/01/16","06/30/17","","88.75","","","","N","N/A","","Product Taxonomy>>Jewelry>>Gifts & Keepsakes>>Plaques"
"sku","","","A000057225","BOXP110","","Component","BOX PLASTIC110 1X1X1/2","20","BOX PLASTIC110 1X1X1/2","BOX PLASTIC110 1X1X1/2","Each","Corregate","Corregate","Packaging & Presentation","Purchased","","","Corregate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BOXP110","Corregate","ALPHA XI DELTA-PREPAID","133595","N/A-COMPONENT","COMPONENT","COMPONENT","COMPONENT","COMPONENT","COMPONENT","","COMPONENT","","","","","Product Taxonomy>>Packaging & Presentation>>Corregate"
"sku","","","A000065928","CANDL-MDMSC","","Finished Good","MEDIUM BATTERY OPERATED CANDLE","20","MEDIUM BATTERY OPERATED CANDLE","MEDIUM BATTERY OPERATED CANDLE","Each","Gifts & Keepsakes","Candles","Jewelry","Purchased","","","Gifts & Keepsakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","","","","CANDL-MDMSC","Education","EVERGLADES COLLEGE INC.","091077","MRA","Non Metal","08/20/25","07/31/26","","2.6","","3.5","","N","N/A","","Product Taxonomy>>Jewelry>>Gifts & Keepsakes>>Candles"
"sku","","","A000091942","GUARDAA GE","","Finished Good","AA"""" BSN CADUCEUS GUARD","20","AA"""" BSN CADUCEUS GUARD","AA"""" BSN CADUCEUS GUARD","Each","Insignia","Guards","Jewelry","Manufactured","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","GUARDAA GE","Guards","KUHN, MICHELLE","453449","MRA","Gold Electroplate","08/01/25","07/31/26","","8.45","22.6","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Insignia>>Guards"
"sku","","","A000091943","GUARDAA GF","","Finished Good","AA"""" BSN CADUCEUS GUARD","20","AA"""" BSN CADUCEUS GUARD","AA"""" BSN CADUCEUS GUARD","Each","Insignia","Guards","Jewelry","Manufactured","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Gold Filled","Y","","","GUARDAA GF","Guards","BYRD, HOWARD","461638","MRA","Gold Filled","08/01/25","07/31/26","","34.2","45.35","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Insignia>>Guards"
"sku","","","A000091945","GUARDAA RP","","Finished Good","AA"""" BSN CADUCEUS GUARD","20","AA"""" BSN CADUCEUS GUARD","AA"""" BSN CADUCEUS GUARD","Each","Insignia","Guards","Jewelry","Manufactured","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","GUARDAA RP","Guards","RODI, VINCENT J","370947","MRA","Rhodium Plate","08/01/25","07/31/26","","8.45","22","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Insignia>>Guards"
"sku","","","A000091946","GUARDAA SS","","Finished Good","AA"""" BSN CADUCEUS GUARD","20","AA"""" BSN CADUCEUS GUARD","AA"""" BSN CADUCEUS GUARD","Each","Insignia","Guards","Jewelry","Manufactured","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Sterling Silver","N","","","GUARDAA SS","Guards","KUHN, MICHELLE","450820","MRA","Sterling Silver","08/01/25","07/31/26","","14.1","29","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Insignia>>Guards"
"sku","","","A000094034","J00650103    10K","","Finished Good","POLISHED ALPHA & PI/CHASED","20","POLISHED ALPHA & PI/CHASED","POLISHED ALPHA & PI/CHASED","Each","Insignia","Badges","Jewelry","Manufactured","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","Yellow Gold","10K","Y","","","J00650103 10K","ASK JENNIFER","ALPHA OMICRON PI-CPC","413287","GREK","10K","07/01/25","06/30/26","","324.1","","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Insignia>>Badges"
"sku","","","A000094038","J00650103    SS","","Finished Good","POLISHED ALPHA & PI/CHASED","20","POLISHED ALPHA & PI/CHASED","POLISHED ALPHA & PI/CHASED","Each","Insignia","Badges","Jewelry","Purchased","","","Insignia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Sterling Silver","N","","","J00650103 SS","ASK JENNIFER","ALPHA OMICRON PI-PREPAID","412173","GREK","Sterling Silver","07/01/25","06/30/26","119","54.3","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Insignia>>Badges"
