"Type","ID","Name","thgskuid","thghjlegacyerpproductnumber","thgproductsize","thgskutype","thghjlegacyerpproductdescription","thgskustatus","thgskuname","thgskudescription","thguom","itemgroup","productgroup","itemtype","thgprimarymakebuy","thgnetweight","thggrossweight","thgproducttaxcode","thgreturnsallowed","thgareaofstudy","thgdegreedependent","thgdegreetype","thghjproductcollection","thghjschoolyear","thghjyeardated","thglicensingrate","thglicensingreferenceid","thgpackagingchangeoffered","thgpackagingoption","thgprimaryproductmaterial","thgproductcontent","thgproductroyaltygroup","thgproductid","accessorytype","badgetype","basecolor","chainlength","chaintype","charmtype","closuretype","color1","color2","color3","comeswithchain","comeswithcharmpendanttag","cordtype","thgdimensions","earringtype","embelishmentdecorating","engraving","engravingfont","engravinglines","engravingmaxcharacters","engravingmincharacters","engravingoptions","engravingpriceperchar","engravingsurcharge","fabrictype","findings","greekletter","greekletterdependent","hasstone","metalandmetalquality","metalfinishingfutroncolor","metalfinishingfutronrequired","metalfinishingnumberoffutroncolors","metalfinishingplating","metalfinishingpolishing","metalfinishingspiritblastcolorfinish","multipiececonstruction","pinshape","primaryribboncolor","ringfingersize","ringstylesize","ringtype","pintype","pendanttype","necklacetype","bracelettype","medaltype","insigniatype","secondaryribboncolor","sides","sizecategory","stoletype","stonearrangement","stonebottomcut","stonecolor","stonecolorbirthstone","stonequality","stonequalitydiamond","stoneshape","stonesize","stonetopcut","stonetreatment","stonetype","trimcolor","weavingtype","thgaltimagetext1","thgaltimagetext10","thgaltimagetext2","thgaltimagetext3","thgaltimagetext4","thgaltimagetext5","thgaltimagetext6","thgaltimagetext7","thgaltimagetext8","thgaltimagetext9","thgimagefilename10","thgimagefilename2","thgimagefilename3","thgimagefilename4","thgimagefilename5","thgimagefilename6","thgimagefilename7","thgimagefilename8","thgimagefilename9","thgimagesourcealt10","thgimagesourcealt4","thgimagesourcealt5","thgimagesourcealt6","thgimagesourcealt7","thgimagesourcealt8","thgimagesourcealt9","thgimagesourcealt1","thgimagesourcealt2","thgimagesourcealt3","thgimagesourcemain","thgimagetitle1","thgimagetitle10","thgimagetitle2","thgimagetitle3","thgimagetitle4","thgimagetitle5","thgimagetitle6","thgimagetitle7","thgimagetitle8","thgimagetitle9","thgmainimagefilename","thgmainimagetext","thgmainimagetitle","thghjbusinessentity","thghtcs","thgproductionleadtimeindays","thgspecialtyitem","thgspecialtyitemfulfillment","thgupc","thgwarrantydetail","thg3dmodel","thgecommercetaxonomy","thgfeaturedproduct","thgnewproduct","thgproductconfigurationrequired","thgproductpersonalizationallowed","thgproductpersonalizationrequired","thgproductsellable","thgrestricteditem","thgweblongdescription","thgwebshortdescription","metalweightdwt","metal","metalquality","containsgold","thglicensed","thglicensedcollection","Column(152)","Column(153)","Column(154)","Column(155)","Column(156)","Column(157)","Column(158)","Column(159)","Column(160)","Column(161)","Column(162)","Column(163)","Column(164)","Column(165)","Column(166)","Column(167)","Product Taxonomy"
"sku","","","A000023151","3-1688  GE","","Finished Good","TUFTS UNIV LT","20","TUFTS UNIV LT","TUFTS UNIV LT","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1688 GE","Education","TUFTS UNIVERSITY","202610","MRA","Gold Electroplate","02/19/25","07/31/25","","16.9","","18.8","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023157","3-1692  SS","","Finished Good","EVERETT COMM COLLEGE NURSING","20","EVERETT COMM COLLEGE NURSING","EVERETT COMM COLLEGE NURSING","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7113113000","","","","","","","","","","","","","","","","","","","Sterling Silver","N","","","3-1692 SS","Medical","EVERETT COMMUNITY COLLEGE","460544","MRA","Sterling Silver","02/18/25","07/31/25","","32.7","","37.75","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023171","3-1699  GF","","Finished Good","HEALTH INFO TECH  LAPEL TAC","20","HEALTH INFO TECH  LAPEL TAC","HEALTH INFO TECH  LAPEL TAC","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Filled","Y","","","3-1699 GF","Medical","SOUTHERN REG. TECH. COLLEGE","104758","MRA","Gold Filled","02/13/24","07/30/24","","0","","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023174","3-1701  GE","","Finished Good","PUBLIC HEALTH LT W/#42 PUPLE","20","PUBLIC HEALTH LT W/#42 PUPLE","PUBLIC HEALTH LT W/#42 PUPLE","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1701 GE","Medical","NAZARETH UNIVERSITY","310287","MRA","Gold Electroplate","08/01/25","07/31/26","","19.55","","34.9","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023178","3-1703  GE","","Finished Good","DIETITIAN  LT W/ MAROON & WHIT","20","DIETITIAN  LT W/ MAROON & WHIT","DIETITIAN  LT W/ MAROON & WHIT","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1703 GE","Medical","TEXAS WOMAN'S UNIVERSITY","426140","MRA","Gold Electroplate","08/01/25","07/31/26","","20.35","","29.8","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023179","3-1704  GE","","Finished Good","SIENNA COLLEGE NURSING LT","20","SIENNA COLLEGE NURSING LT","SIENNA COLLEGE NURSING LT","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1704 GE","Medical","SIENA COLL BOOKSTORE FHEG 810","311211","MRA","Gold Electroplate","08/01/25","07/31/26","","19.55","","28.99","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023180","3-1705  GE OSP","","Finished Good","RSO LAPEL TAC","20","RSO LAPEL TAC","RSO LAPEL TAC","Each","Pins","Medical","Jewelry","Purchased","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Silver Plate","N","","","3-1705 GE OSP","Medical","INDIANA UNIV. ACCOUNTS PAYABLE","IND100","MRA","Gold Electroplate w/Silver Plate?","02/21/24","//","","4.75","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023183","3-1707  GF 05","","Finished Good","UVALDE MEM HOSP 5YR FIN 1-B","20","UVALDE MEM HOSP 5YR FIN 1-B","UVALDE MEM HOSP 5YR FIN 1-B","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Filled","Y","","","3-1707 GF 05","Education","UVALDE MEMORIAL HOSPITAL","420151","MRA","Gold Filled","08/01/23","07/31/24","","79.35","","154.1","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023190","3-1710  GE","","Finished Good","HARDEY PREP (CUSTOMIZED CREST","20","HARDEY PREP (CUSTOMIZED CREST","HARDEY PREP (CUSTOMIZED CREST","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1710 GE","Education","SACRED HEART ACADEMY","SAC026","MRA","Gold Electroplate","08/01/23","07/31/24","","13.35","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023194","3-1712  RP","","Finished Good","RN  LAPEL TAC  W/ #42 PURPLE","20","RN  LAPEL TAC  W/ #42 PURPLE","RN  LAPEL TAC  W/ #42 PURPLE","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1712 RP","Medical","SOUTHWEST BAPTIST UNIVERSITY","244146","MRA","Rhodium Plate","08/01/25","07/31/26","","21.15","","32.95","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023196","3-1713  RP","","Finished Good","ASR LAPEL TAC  W/ #42 PURPLE","20","ASR LAPEL TAC  W/ #42 PURPLE","ASR LAPEL TAC  W/ #42 PURPLE","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1713 RP","Medical","SOUTHWEST BAPTIST UNIVERSITY","244146","MRA","Rhodium Plate","08/01/25","07/31/26","","21.15","","32.95","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023198","3-1715  GE","","Finished Good","LPN LT /#23 BLUE, #15 BPA PUR","20","LPN LT /#23 BLUE, #15 BPA PUR","LPN LT /#23 BLUE, #15 BPA PUR","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1715 GE","Medical","TRAVISS TECHNICAL COLLEGE","093086","MRA","Gold Electroplate","08/01/25","07/31/26","","21.95","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023199","3-1716  RP","","Finished Good","SUDC  LT W/ #23 BLUE FUTRON","20","SUDC  LT W/ #23 BLUE FUTRON","SUDC  LT W/ #23 BLUE FUTRON","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1716 RP","Education","CHIPPEWA VALLEY TEC","480008","MRA","Rhodium Plate","08/01/25","07/31/26","","19.55","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023200","3-1717  RP","","Finished Good","IU FOUNDATION","20","IU FOUNDATION","IU FOUNDATION","Each","Pins","Education","Jewelry","Purchased","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1717 RP","Education","INDIANA UNIV. ACCOUNTS PAYABLE","IND100","MRA","Rhodium Plate","#N/A","#N/A","","#N/A","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023201","3-1718  RP","","Finished Good","NATIONAL BAND ASSOC #25 BLUE","20","NATIONAL BAND ASSOC #25 BLUE","NATIONAL BAND ASSOC #25 BLUE","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1718 RP","Education","NATIONAL BAND ASSOCIATION","NAT018","MRA","Rhodium Plate","#N/A","#N/A","","#N/A","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023202","3-1719  GE","","Finished Good","IBX FOUNDATION SCHOLAR  LT","20","IBX FOUNDATION SCHOLAR  LT","IBX FOUNDATION SCHOLAR  LT","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1719 GE","Education","THOMAS JEFFERSON UNIVERSITY","373341","MRA","Gold Electroplate","08/01/25","07/31/26","","21.15","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023204","3-1721  RP","","Finished Good","NURSING LT W #325 TEAL","20","NURSING LT W #325 TEAL","NURSING LT W #325 TEAL","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1721 RP","Medical","SENMC - NURSING PROGRAM","300414","MRA","Rhodium Plate","08/01/25","07/31/26","","19.35","","38","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023209","3-1726  BGL","","Finished Good","INDIAN CREEK SCHOLAR CREST","20","INDIAN CREEK SCHOLAR CREST","INDIAN CREEK SCHOLAR CREST","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","N","","","3-1726 BGL","Education","THOMPSON, KIRK E","IND122","MRA","Bronze Glo","08/01/23","07/31/24","","13","","132.25","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023212","3-1726  WGL","","Finished Good","INDIAN CREEK SCHOLAR CREST","20","INDIAN CREEK SCHOLAR CREST","INDIAN CREEK SCHOLAR CREST","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","N","","","3-1726 WGL","Education","THOMPSON, KIRK E","IND122","MRA","White Glo","08/01/23","07/31/24","","13","","17.8","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023214","3-1728  GE","","Finished Good","50TH LAPEL TAC #23 BLUE","20","50TH LAPEL TAC #23 BLUE","50TH LAPEL TAC #23 BLUE","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1728 GE","Medical","GEORGETOWN UNIVERSITY","070174","MRA","Gold Electroplate","08/01/25","07/31/26","","21.15","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023215","3-1729  GE","","Finished Good","HAMPTON UNIVERSITY DPT BLUE","20","HAMPTON UNIVERSITY DPT BLUE","HAMPTON UNIVERSITY DPT BLUE","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1729 GE","Education","HAMPTON UNIVERSITY","450608","MRA","Gold Electroplate","08/01/23","07/31/24","","0","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023216","3-1730  GE","","Finished Good","TEXAS STATE UNIV RESP CARE","20","TEXAS STATE UNIV RESP CARE","TEXAS STATE UNIV RESP CARE","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1730 GE","Education","TEX STATE UNIV DEPT RESP CARE","TEX009","MRA","Gold Electroplate","08/01/23","07/31/24","","0","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023217","3-1731  GE","","Finished Good","BELANGER SCH OF NURSING","20","BELANGER SCH OF NURSING","BELANGER SCH OF NURSING","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1731 GE","Medical","JOE LIVOTI","314590","MRA","Gold Electroplate","08/01/25","07/31/26","","21.95","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023220","3-1733  GF","","Finished Good","FELLOW-THE ELECTROCHEMICAL","20","FELLOW-THE ELECTROCHEMICAL","FELLOW-THE ELECTROCHEMICAL","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Filled","Y","","","3-1733 GF","Education","THE ELECTROCHEMICAL SOCIETY","ELE004","MRA","Gold Filled","08/01/23","07/31/24","","46.5","","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023221","3-1734  RP","","Finished Good","DPT LAPEL TAC W/ 0.5 PT BLU SY","20","DPT LAPEL TAC W/ 0.5 PT BLU SY","DPT LAPEL TAC W/ 0.5 PT BLU SY","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1734 RP","Medical","LINCOLN MEMORIAL UNIV","410029","MRA","Rhodium Plate","09/06/24","07/31/25","","22.4","","34.81","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023230","3-1739  GE","","Finished Good","MED LAB SCIENCES LT","20","MED LAB SCIENCES LT","MED LAB SCIENCES LT","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1739 GE","Education","TENA HARMAN","241901","MRA","Gold Electroplate","08/01/25","07/31/26","","21.95","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023231","3-1740  GE","","Finished Good","BOARD OF COOPERATIVE EDUCATION","20","BOARD OF COOPERATIVE EDUCATION","BOARD OF COOPERATIVE EDUCATION","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1740 GE","Education","DUTCHESS COUNTY BOCES","DUT007","MRA","Gold Electroplate","09/06/24","07/31/25","","22.1","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023233","3-1742  GGL","","Finished Good","LOWER SCHOOL GREEN  BOXED","20","LOWER SCHOOL GREEN  BOXED","LOWER SCHOOL GREEN  BOXED","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","N","","","3-1742 GGL","Education","HOCKADAY SCHOOL","HOC003","MRA","Golden Glo","08/01/23","07/31/25","","11.7","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023234","3-1743  RP","","Finished Good","BALL STATE FOOTBALL","20","BALL STATE FOOTBALL","BALL STATE FOOTBALL","Each","Pins","Education","Jewelry","Purchased","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","3-1743 RP","Education","BALL STATE UNIVERSITY","130330","MRA","Rhodium Plate","02/21/24","//","","2.5","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000023258","3-1754  GE","","Finished Good","CSU STANISLAUS BSN SEMICUSTOM","20","CSU STANISLAUS BSN SEMICUSTOM","CSU STANISLAUS BSN SEMICUSTOM","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1754 GE","Medical","CSU STANISLAUS B&N #525","421217","MRA","Gold Electroplate","02/10/26","07/31/26","","19.55","","28.58","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000023259","3-1755  GGL","","Finished Good","BISONETTES CHARMS W/BLACK","20","BISONETTES CHARMS W/BLACK","BISONETTES CHARMS W/BLACK","Each","Fashion Jewelry","Charm","Jewelry","Manufactured","","","Fashion Jewelry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.19.9000","","","","","","","","","","","","","","","","","","","","N","","","3-1755 GGL","Charm","OKLAHOMA BAPTIST UNIVERSITY","OKL003","MRA","Golden Glo","08/01/24","07/31/24","","0","","10.45","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Fashion Jewelry>>Charm"
"sku","","","A000023260","3-1756  GGL","","Finished Good","BUCKEYE SCH SERVICE BLUE/BLK","20","BUCKEYE SCH SERVICE BLUE/BLK","BUCKEYE SCH SERVICE BLUE/BLK","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","N","","","3-1756 GGL","Education","BUCKEYE UNION SCH DIST","BUC028","MRA","Golden Glo","08/01/23","07/31/24","","0","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
